Lemon,,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0
Lime,,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Reposado tequila,,0.4,3,0,2,0,0,1,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Absinthe,Mophisto,0.65,4,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,4,3,0,0,0,1,0,0,0
Dark Rum ,Gosling,0.4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,1,2,0,2,0,0,0,1,0,2,0
Aperol,Aperol,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,0,3,1,4,0
Ginger ale,,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Amaro,bellini,0.25,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,,0,1,3,0,1,0,2,1,0,0
Gin,Cutwater,0.4,4,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Simple syrup,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourbon,Woodford reserve,0.45,2,0,1,0,0,1,1,0,0,2,2,2,0,1,1,0,1,1,1,0,0,2,0,0,0,0,1,0,0
Scotch,Shieldaig,0.4,3,2,2,0,0,0,2,0,0,1,5,1,0,1,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0
Mint,,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Dry vermouth,Dolin,0.175,1,0,0,3,0,2,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3
Seltzer,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vodka,Humbolt distillery,0.4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
Angostura,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,0,0,1,3,0,0,0,2,0,0,0
Orange bitters,fee brothers,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,2,0,0
Peychauds bitters,,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,5,0,0,0,3,3,0,2,0,0,0,0,0
Honey Syrup,,0,0,0,5,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,2,2,2
Ginger syrup,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Cinnamon syrup,,0,0,0,5,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0
Maple syrup,,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0
Grenadine,Sonoma syrup co,0,0,0,5,1,0,0,0,0,0,0,0,0,0,,0,0,0,3,0,0,0,0,1,0,0,3,1,0,4
Apple jack,"Lairds, applejack86",0.43,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0
Light rum,"Havanna club, anejo blanco",0.4,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Sweet vermouth,Rivata,0.16,0,1,3,2,0,1,0,1,0,1,0,0,0,0,0,1,1,2,1,0,0,3,2,3,0,1,2,0,3
calvados,mozin?,0.4,2,0,2,1,0,,0,0,0,3,0,0,0,0,0,0,4,3,1,0,0,1,0,0,0,0,5,0,0
Bourbon,Lost republic,0.455,3,0,2,0,0,0,2,0,0,2,0,2,0,1,3,1,1,0,0,0,0,2,0,1,0,0,0,1,0
Orange liqueur,royal orange,0.4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0
Amaretto,regency,0.28,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,1,1,0,0,0,0,0,0
Orange juice,Naval,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1
Tomato juice,,0,0,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Basil,,0,1,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
Jalapeno,,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
green chartreuse,,0.55,2,1,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,2,0,0
maraschino ,Luxardo,0.32,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0
absinthe,,0.55,2,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,2,0,4,0,2,0,1,0,0,2,0,0,0
bourbon,Basil Heydens,0.4,1,1,1,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
red vermouth,Antica formula,0.165,0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
campari,,0.24,0,1,3,0,0,0,0,0,2,0,0,0,0,0,1,1,5,0,1,0,0,2,2,2,0,1,0,1,2
Tequila Reposado ,"Cava de Oro, Extra Anejo",0.38,0,0,4,0,0,0,3,1,1,3,2,0,0,0,2,1,0,1,0,1,0,0,0,0,,3,0,0,0
Tequila Blanco,"Cava de Oro, Blanco",0.38,0,0,3,1,0,0,3,2,2,3,2,0,0,0,2,0,0,1,0,0,0,0,0,0,,1,0,0,0
Tequila Blanco,"Casamigos, Blanco ",0.4,1,0,2,1,0,0,4,2,0,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,,2,0,0,0
Gin,Hendrick's,0.44,2,0,2,0,0,0,1,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,4,0,0,0
Pineapple juice,,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
grapefruit juice,,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,3,0,0,0,0,0
egg white,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lillet,,0.17,1,0,4,1,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,2,2,1,3
Club soda,,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
demerar gum syrup,Educated guess,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Rye,Woodford reserve,0.452,3,0,2,0,0,2,0,1,0,2,1,3,0,1,1,2,1,0,0,1,0,2,0,0,0,0,2,2,0
Orgeat syrup,,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,5,1,0,0,2,0,0,0,0,0,0,5,3,0,1